,Gender,Age,#NER,Vocabulary
3673b860b3068ced30eae56ddf4aa88d,FEMALE,25-34,0,190
0ff365c959ec5aad4fd259e9084664ca,MALE,35-49,33,390
e51f0508ffb0e5ce259413320dea1466,FEMALE,25-34,318,2742
325a3910e81d6fdef13ebd10e62b6811,MALE,50-64,114,522
d24b9964ae7655c41a5ad61f9a8046f8,FEMALE,35-49,335,4018
ca9795912e9c0fd29c5b2c5b43165ddc,FEMALE,25-34,36,109
91ecc62e3cbf4dbe55f006dcb1dcf1ce,MALE,25-34,25,295
71bad84ba0121a58a28f3806b5c38d35,MALE,50-64,482,2137
4fb4d4012ab1400519a8aacc1fa5b437,MALE,18-24,235,1565
79ccd7fc8dafb588b483b27df2f34dc3,FEMALE,35-49,197,2765
6668a185a1dba76ba3b03f6f3d59f47b,FEMALE,25-34,35,406
802ae19a2e58af637ecd26a581c8e61f,MALE,50-64,569,4557
7f8f9c613d650159608b025916e3dc5d,FEMALE,50-64,61,239
44196f9071e35afd7e747b118e978d81,FEMALE,25-34,255,2373
7f4e15c615e37f97f38fa5380ef5f327,FEMALE,50-64,8,352
cb3cc661832e991adc4194df9a4f5e9d,MALE,25-34,79,544
98aca1ff7d801140dcec5ca79627043f,FEMALE,25-34,57,351
66d2a329a83d33691b5fe7937bbfbffd,MALE,50-64,278,1624
4e1a38925af9f48889fe3e952b247326,FEMALE,35-49,22,342
5c9583085493bf65d2a322a794d752f2,FEMALE,35-49,115,2907
f6cd7617d07c0e180e7ffa284de08c15,MALE,65-xx,612,3140
d72e4b7b00cf79d63985c39ee99d5d23,FEMALE,50-64,35,344
755e49db52cf4147d53df66d0c73bc6b,MALE,25-34,19,310
a461066d41c07295283f3c02099adcd8,MALE,35-49,35,215
56a8086bc186ef1bc7c5df85545e0116,MALE,35-49,64,342
94abbb1487b94006fc74d0ab84ec2635,FEMALE,25-34,18,261
dce632f5ef586e0def244e8eb45dd2b8,FEMALE,50-64,9,248
298ac0ec801d9f4cc6f45733f904eb1b,MALE,25-34,137,1184
a20faa0f43b78386e6b136ff1b3f4756,MALE,35-49,273,2519
cf3a2ee80d533483e436019df024846f,MALE,25-34,48,1090
6487bbd4145eecb77b50c1eeb36c82de,FEMALE,35-49,81,398
6f302b80bf2f244c30f509a763d9b1fa,MALE,35-49,192,1300
cd6ad18273b841d979fb938896543229,MALE,35-49,34,296
0044bf0a3b4fdb88798235d1352f5325,FEMALE,50-64,67,283
9d976a82f0d735e95f1338a0c4d08372,MALE,35-49,187,883
808445e76a3eba242898ba24be3ef64d,MALE,25-34,279,1722
788624fbd848021d505fc0ff3550fff3,FEMALE,35-49,28,276
0b085d7e81d2aa6897b0c7d1a07de06f,FEMALE,25-34,146,1027
6d5aaaa46480f919e85f286523221796,FEMALE,35-49,198,1566
ad82f4a5700c4e46c52c84874399a417,FEMALE,35-49,20,352
d0d79ca665a426c76c4d69a4e868070a,MALE,25-34,10,136
111a34249fffddcfcfe1f00951698366,MALE,35-49,131,1581
f9f2ea449732be0f491cf507b9f5d9df,FEMALE,35-49,20,636
752e8784532ed8faa799cc8cb25dd3f3,MALE,35-49,348,1035
d28c1d83999e19eb1710ac909ac8de47,FEMALE,35-49,65,234
f1ff6a7b7270f8b983e7898f4eaeb53b,FEMALE,35-49,19,165
379fa2087c5d74668270f6a607208e5c,FEMALE,25-34,6,333
e539ade0a2ab4a3fe264de60bd448293,FEMALE,18-24,224,1552
df8062f8e532887a2c796b784c93247a,MALE,18-24,16,337
0f993d529ff60d03fcbc9f439a7909f1,FEMALE,25-34,186,541
0a012eb53f5e7bad0691c9a0fcb761d6,MALE,35-49,138,1748
4e12db3babc8b873a1acc07d835551ac,FEMALE,25-34,16,347
9e46d220751b35e62cc149fea318fae9,FEMALE,25-34,28,208
ceed88f668081db61cedbf12dd85e48d,FEMALE,25-34,39,599
e6daefefdc379cd36fc04d7a57819232,FEMALE,50-64,17,295
