,MALE,FEMALE,18-24,25-34,35-49,50-64,65-xx
1,1.4743589744,1.5105263158,2.0626198083,1.5105263158,1.4743589744,3.8007662835,2.9815286624
2,3.8007662835,2.6874544128,2.3163659794,2.6874544128,3.5395719263,2.0196537202,1.7333333333
3,1.806779661,3.5395719263,1.6943620178,1.3394495413,2.9768535262,3.7796796138,3.0741721854
4,2.0196537202,1.3394495413,2.5096989967,1.806779661,1.6988304094,2.4225941423,4.4323529412
5,2.0626198083,2.9768535262,1.3835616438,2.3571428571,2.6900584795,1.5880681818,
6,3.7796796138,2.3571428571,2.8325459318,2.5073746313,1.6697674419,4.0104679803,
7,1.6856617647,2.4225941423,,1.6856617647,2.0087719298,1.6569767442,
8,4.0104679803,2.5073746313,,1.6381766382,3.3386264391,1.7741935484,
9,2.9815286624,1.5880681818,,1.6451612903,2.0075376884,1.5406360424,
10,1.6451612903,1.6381766382,,1.5325670498,4.4738461538,1.9389830508,
11,1.6697674419,1.6988304094,,1.7787162162,1.6959459459,2.5273536896,
12,2.0087719298,2.6900584795,,2.4165137615,1.9524348811,3.743037055,
13,1.7787162162,1.6569767442,,2.3728222997,1.4565217391,5.5811229762,
14,3.3386264391,1.5325670498,,1.9026290166,3.3524904215,2.904425914,
15,2.4165137615,1.7741935484,,1.5661764706,1.6136363636,1.6325301205,
16,4.4738461538,2.0075376884,,1.7297297297,3.8083491461,1.6476510067,
17,1.6959459459,1.5406360424,,2.2975970425,2.0691823899,2.7282705429,
18,1.9524348811,1.4565217391,,1.6657060519,2.870531401,1.8788870704,
19,2.3728222997,1.9026290166,,1.5384615385,1.9017094017,3.3533512064,
20,1.5661764706,3.3524904215,,2.0233722871,1.3272727273,4.0114495571,
21,3.8083491461,1.6136363636,,1.7590361446,2.7328375286,3.4231499051,
22,2.870531401,2.0691823899,,1.4528301887,1.8012618297,3.2887828162,
23,1.6943620178,1.9017094017,,3.0352112676,1.5852272727,2.1151832461,
24,2.7328375286,1.3272727273,,1.5906976744,2.0604651163,,
25,1.4528301887,1.7297297297,,2.2657091562,2.0839002268,,
26,3.0352112676,2.3163659794,,1.6170886076,1.7319587629,,
27,2.5273536896,2.2975970425,,1.8653846154,3.4512195122,,
28,2.2657091562,1.6657060519,,2.2007722008,4.3315412186,,
29,2.0839002268,1.5384615385,,1.3484848485,3.6667786362,,
30,1.7319587629,2.0233722871,,1.8662420382,1.875,,
31,4.3315412186,1.9389830508,,2.7559395248,1.5801526718,,
32,1.8653846154,1.7590361446,,2.8599571734,2.1465517241,,
33,2.2007722008,1.8012618297,,2.008,1.6852941176,,
34,2.5096989967,1.5906976744,,3.2094423321,1.6206896552,,
35,2.7559395248,3.743037055,,1.5584415584,1.6678082192,,
36,2.8599571734,1.5852272727,,3.9610948528,2.012455516,,
37,5.5811229762,2.0604651163,,3.0995240156,7.2939814815,,
38,3.2094423321,1.6170886076,,3.2717391304,2.7272727273,,
39,2.1465517241,3.4512195122,,2.3548795944,2.0419426049,,
40,3.9610948528,1.3484848485,,1.978858351,3.233201581,,
41,3.0995240156,1.8662420382,,1.4591836735,2.7091782284,,
42,3.2717391304,3.6667786362,,1.7432150313,1.5966386555,,
43,2.012455516,1.875,,1.7694610778,2.457957958,,
44,1.978858351,1.5801526718,,1.3051359517,2.3404255319,,
45,1.7432150313,2.008,,3.1592724046,3.3456637896,,
46,7.2939814815,1.5584415584,,1.8637681159,3.2731876333,,
47,2.7272727273,1.6852941176,,2.3249830738,3.1042654028,,
48,3.1592724046,1.6206896552,,3.243578388,5.6129374337,,
49,1.8637681159,1.6678082192,,3.341447582,3.0477908025,,
50,2.0419426049,2.3548795944,,1.6976744186,2.5075165364,,
51,3.233201581,1.4591836735,,1.719844358,1.8353510896,,
52,2.904425914,1.7694610778,,1.7447552448,1.8033898305,,
53,3.243578388,1.3051359517,,1.6608695652,2.0718484651,,
54,1.5966386555,2.3249830738,,1.6420664207,1.4310344828,,
55,2.457957958,1.6325301205,,2.711365003,,,
56,2.7282705429,2.7091782284,,1.8634812287,,,
57,1.6976744186,1.6476510067,,0,,,
58,1.719844358,2.3404255319,,1.6455331412,,,
59,3.3456637896,1.7333333333,,1.7247706422,,,
60,3.2731876333,3.341447582,,1.3455497382,,,
61,1.8788870704,3.0741721854,,,,,
62,3.1042654028,1.3835616438,,,,,
63,4.4323529412,1.7447552448,,,,,
64,3.3533512064,1.6608695652,,,,,
65,5.6129374337,3.0477908025,,,,,
66,4.0114495571,2.5075165364,,,,,
67,1.6420664207,1.8353510896,,,,,
68,2.0718484651,1.8033898305,,,,,
69,1.4310344828,3.4231499051,,,,,
70,1.8634812287,2.8325459318,,,,,
71,0,2.711365003,,,,,
72,3.2887828162,1.6455331412,,,,,
73,1.7247706422,2.1151832461,,,,,
74,1.3455497382,,,,,,
