,MALE,FEMALE,18-24,25-34,35-49,50-64,65-xx
1,8.4615384615,0,15.0159744409,0,8.4615384615,21.8390804598,19.4904458599
2,21.8390804598,11.5973741794,14.4329896907,11.5973741794,8.337481334,22.5549836219,26.25
3,8.4745762712,8.337481334,4.7477744807,33.0275229358,7.1247739602,12.4862848365,6.6556291391
4,22.5549836219,33.0275229358,26.1538461538,8.4745762712,6.432748538,25.5230125523,92.0588235294
5,15.0159744409,7.1247739602,0,8.6206896552,3.9559683523,2.2727272727,
6,12.4862848365,8.6206896552,15.8005249344,10.7458912769,16.2790697674,17.118226601,
7,14.5220588235,25.5230125523,,14.5220588235,18.7134502924,10.1744186047,
8,17.118226601,10.7458912769,,16.2393162393,10.8376339817,3.6290322581,
9,19.4904458599,2.2727272727,,6.1290322581,20.351758794,23.6749116608,
10,6.1290322581,16.2393162393,,6.8965517241,14.7692307692,5.7627118644,
11,16.2790697674,6.432748538,,11.5709459459,11.4864864865,4.9618320611,
12,18.7134502924,3.9559683523,,4.4036697248,21.1778029445,8.864131751,
13,11.5709459459,10.1744186047,,16.2020905923,10.1449275362,41.7499138822,
14,10.8376339817,6.8965517241,,14.2161635833,12.6436781609,21.1032713278,
15,4.4036697248,3.6290322581,,7.3529411765,5.6818181818,6.3253012048,
16,14.7692307692,20.351758794,,1.8018018018,8.2858950032,6.3758389262,
17,11.4864864865,23.6749116608,,34.3807763401,3.1446540881,12.3998813408,
18,21.1778029445,10.1449275362,,4.6109510086,33.6231884058,13.4206219313,
19,16.2020905923,14.2161635833,,13.4615384615,27.7777777778,7.6943699732,
20,7.3529411765,12.6436781609,,6.510851419,11.5151515152,8.5115575718,
21,8.2858950032,5.6818181818,,6.4257028112,7.8947368421,31.5623023403,
22,33.6231884058,3.1446540881,,4.4025157233,4.1009463722,28.2948819942,
23,4.7477744807,27.7777777778,,14.0845070423,3.9772727273,9.6858638743,
24,7.8947368421,11.5151515152,,13.488372093,25.8914728682,,
25,4.4025157233,1.8018018018,,7.7199281867,2.7210884354,,
26,14.0845070423,14.4329896907,,3.4810126582,6.529209622,,
27,4.9618320611,34.3807763401,,9.6153846154,47.5609756098,,
28,7.7199281867,4.6109510086,,32.4324324324,15.0935882119,,
29,2.7210884354,13.4615384615,,10.6060606061,4.2660396372,,
30,6.529209622,6.510851419,,3.821656051,11.5384615385,,
31,15.0935882119,5.7627118644,,25.0539956803,17.1755725191,,
32,9.6153846154,6.4257028112,,14.0042826552,7.183908046,,
33,32.4324324324,4.1009463722,,14.4,6.4705882353,,
34,26.1538461538,13.488372093,,28.6755386565,5.1724137931,,
35,25.0539956803,8.864131751,,11.6883116883,1.3698630137,,
36,14.0042826552,3.9772727273,,22.723360303,6.7615658363,,
37,41.7499138822,25.8914728682,,11.1639982691,31.9444444444,,
38,28.6755386565,3.4810126582,,45.652173913,40.0271370421,,
39,7.183908046,47.5609756098,,6.7173637516,9.0507726269,,
40,22.723360303,10.6060606061,,9.9365750529,32.4110671937,,
41,11.1639982691,3.821656051,,8.1632653061,9.2849519744,,
42,45.652173913,4.2660396372,,14.6137787056,7.8431372549,,
43,6.7615658363,11.5384615385,,1.7964071856,19.5195195195,,
44,9.9365750529,17.1755725191,,13.8972809668,10.2127659574,,
45,14.6137787056,14.4,,9.0949423248,14.508836827,,
46,31.9444444444,11.6883116883,,15.9420289855,8.5287846482,,
47,40.0271370421,6.4705882353,,7.7860528097,7.1090047393,,
48,9.0949423248,5.1724137931,,17.1833480957,24.3902439024,,
49,15.9420289855,1.3698630137,,21.3404738721,2.7051397656,,
50,9.0507726269,6.7173637516,,13.1782945736,14.912808178,,
51,32.4110671937,8.1632653061,,5.4474708171,8.4745762712,,
52,21.1032713278,1.7964071856,,6.6433566434,13.7853107345,,
53,17.1833480957,13.8972809668,,3.1884057971,18.9418680601,,
54,7.8431372549,7.7860528097,,7.0110701107,12.9310344828,,
55,19.5195195195,6.3253012048,,7.0956103428,,,
56,12.3998813408,9.2849519744,,19.4539249147,,,
57,13.1782945736,6.3758389262,,0,,,
58,5.4474708171,10.2127659574,,9.2219020173,,,
59,14.508836827,26.25,,11.3149847095,,,
60,8.5287846482,21.3404738721,,4.1884816754,,,
61,13.4206219313,6.6556291391,,,,,
62,7.1090047393,0,,,,,
63,92.0588235294,6.6433566434,,,,,
64,7.6943699732,3.1884057971,,,,,
65,24.3902439024,2.7051397656,,,,,
66,8.5115575718,14.912808178,,,,,
67,7.0110701107,8.4745762712,,,,,
68,18.9418680601,13.7853107345,,,,,
69,12.9310344828,31.5623023403,,,,,
70,19.4539249147,15.8005249344,,,,,
71,0,7.0956103428,,,,,
72,28.2948819942,9.2219020173,,,,,
73,11.3149847095,9.6858638743,,,,,
74,4.1884816754,,,,,,
