,Gender,Age ,NN,TO,VB,DT,IN,PRP$,NNP,VBZ,RBS,JJ,CC,NNPS,RB,PRP,VBP,VBD,NNS,VBN,WP,VBG,MD,EX,POS,CD,WDT,WRB,PDT,JJS,JJR,RP,-NONE-,RBR,LS,WP$,FW,UH,-LRB-,Vocabulary
3673b860b3068ced30eae56ddf4aa88d,FEMALE,25-34,59,6,7,23,29,11,28,8,0,18,16,0,19,18,10,6,13,5,0,2,1,0,0,14,1,4,0,1,2,0,2,0,0,0,0,0,0,190
0ff365c959ec5aad4fd259e9084664ca,MALE,35-49,90,9,13,53,70,8,102,14,0,50,16,1,20,12,16,10,41,13,2,9,7,0,0,45,2,3,0,0,1,1,3,2,0,0,0,0,0,390
e51f0508ffb0e5ce259413320dea1466,FEMALE,25-34,1090,194,279,546,801,145,1260,204,6,538,328,5,293,384,243,166,393,135,22,135,100,16,13,125,32,39,1,23,38,29,34,11,0,0,0,0,0,2742
325a3910e81d6fdef13ebd10e62b6811,MALE,50-64,356,44,60,144,204,24,344,68,4,148,50,4,66,30,60,26,172,50,8,48,30,8,2,30,24,12,0,6,0,6,2,4,0,0,0,0,0,522
d24b9964ae7655c41a5ad61f9a8046f8,FEMALE,35-49,1793,303,446,1151,1448,236,1873,328,2,948,488,3,963,1081,418,734,436,220,30,326,139,26,90,621,35,66,3,27,34,90,589,15,4,0,1,0,0,4018
ca9795912e9c0fd29c5b2c5b43165ddc,FEMALE,25-34,15,5,3,5,10,0,94,1,0,4,6,0,2,2,3,2,8,0,2,2,0,0,0,17,0,0,0,0,1,2,0,0,0,0,0,0,0,109
91ecc62e3cbf4dbe55f006dcb1dcf1ce,MALE,25-34,92,11,10,71,74,10,78,5,1,34,21,2,13,16,11,13,23,13,2,4,3,0,0,59,1,4,0,2,0,4,2,0,0,0,0,0,0,295
71bad84ba0121a58a28f3806b5c38d35,MALE,50-64,583,89,97,375,417,26,1366,133,1,308,138,15,105,76,73,48,225,61,25,72,33,1,16,124,17,22,0,6,5,8,11,2,0,0,0,0,0,2137
4fb4d4012ab1400519a8aacc1fa5b437,MALE,18-24,491,81,79,218,335,65,784,43,2,208,93,15,79,69,47,100,221,59,8,49,21,3,18,177,14,10,0,8,22,7,11,9,5,0,0,0,0,1565
79ccd7fc8dafb588b483b27df2f34dc3,FEMALE,35-49,1350,272,343,808,930,166,987,232,6,593,255,5,355,410,270,145,441,137,58,171,107,21,44,57,69,67,0,14,33,14,30,13,0,2,1,0,0,2765
6668a185a1dba76ba3b03f6f3d59f47b,FEMALE,25-34,134,30,41,93,92,29,171,14,0,57,55,1,35,40,29,47,48,9,0,16,2,0,0,52,0,2,0,3,15,6,1,0,0,0,0,0,0,406
802ae19a2e58af637ecd26a581c8e61f,MALE,50-64,3179,445,676,1884,1846,208,2206,392,13,1550,653,5,588,442,412,454,1135,440,52,284,311,31,48,288,84,97,4,55,63,46,85,29,0,0,0,0,0,4557
7f8f9c613d650159608b025916e3dc5d,FEMALE,50-64,80,9,10,45,72,2,173,29,0,21,18,0,19,14,13,4,17,14,2,1,7,0,0,59,2,1,0,0,0,0,2,0,0,0,0,0,0,239
44196f9071e35afd7e747b118e978d81,FEMALE,25-34,1200,187,291,461,546,238,691,96,0,391,149,1,248,378,210,148,141,114,21,146,105,5,19,33,16,37,0,6,4,14,18,3,0,0,0,1,0,2373
7f4e15c615e37f97f38fa5380ef5f327,FEMALE,50-64,85,21,25,42,55,11,56,7,0,50,44,0,20,34,24,17,34,14,4,15,5,2,0,35,2,4,0,0,1,3,2,0,0,0,0,0,0,352
cb3cc661832e991adc4194df9a4f5e9d,MALE,25-34,137,9,14,94,124,15,249,22,2,61,53,0,14,13,13,26,49,14,2,11,7,0,0,56,3,5,1,1,17,1,4,2,0,0,1,0,0,544
98aca1ff7d801140dcec5ca79627043f,FEMALE,25-34,74,19,21,39,62,9,124,15,0,37,30,0,13,16,5,10,31,18,3,12,4,1,0,20,0,4,0,2,4,0,3,1,0,0,0,0,0,351
66d2a329a83d33691b5fe7937bbfbffd,MALE,50-64,953,138,154,585,748,130,997,117,0,520,207,4,187,212,78,338,320,161,17,75,49,5,43,384,24,12,0,10,25,9,3,2,0,0,0,0,0,1624
4e1a38925af9f48889fe3e952b247326,FEMALE,35-49,88,17,16,39,61,19,104,7,0,38,28,0,24,38,21,27,30,8,5,17,1,0,0,58,0,4,0,1,1,2,4,1,0,0,0,0,0,342
5c9583085493bf65d2a322a794d752f2,FEMALE,35-49,1257,242,299,663,923,99,713,253,6,672,290,4,340,319,256,125,543,179,43,175,115,15,19,88,61,45,1,20,41,14,14,22,0,0,1,0,0,2907
f6cd7617d07c0e180e7ffa284de08c15,MALE,65-xx,1185,247,276,977,1155,116,1575,310,4,672,343,12,453,353,220,276,436,238,44,90,120,15,49,176,69,56,0,14,20,27,8,15,2,1,0,0,0,3140
d72e4b7b00cf79d63985c39ee99d5d23,FEMALE,50-64,93,12,20,47,73,7,77,14,0,24,17,0,10,17,20,4,39,22,4,12,7,2,0,22,7,4,0,5,1,1,3,1,0,0,0,0,0,344
755e49db52cf4147d53df66d0c73bc6b,MALE,25-34,77,10,15,41,63,11,80,16,0,38,24,1,16,28,18,8,34,1,1,11,5,1,0,34,4,5,0,6,2,0,5,0,0,0,0,0,0,310
a461066d41c07295283f3c02099adcd8,MALE,35-49,43,7,7,37,36,2,76,5,0,23,21,1,14,14,7,9,20,14,1,7,3,0,0,25,2,0,0,1,3,1,1,2,0,0,0,0,0,215
56a8086bc186ef1bc7c5df85545e0116,MALE,35-49,89,16,19,49,61,14,144,16,1,54,48,0,23,26,29,17,38,10,3,5,6,1,0,56,3,5,0,2,2,2,0,0,0,0,0,0,0,342
94abbb1487b94006fc74d0ab84ec2635,FEMALE,25-34,56,13,11,33,51,11,58,10,0,45,18,0,13,12,7,14,31,10,1,4,2,0,0,30,1,1,0,0,3,2,1,0,0,0,0,0,0,261
dce632f5ef586e0def244e8eb45dd2b8,FEMALE,50-64,72,22,25,41,36,3,67,9,1,30,33,0,10,13,11,6,22,4,4,15,6,1,0,30,2,4,0,1,0,2,0,1,0,0,0,0,0,248
298ac0ec801d9f4cc6f45733f904eb1b,MALE,25-34,319,52,55,206,264,22,302,60,2,150,115,7,62,66,66,53,169,44,11,41,21,5,1,122,8,17,0,4,7,9,5,2,0,0,0,0,0,1184
a20faa0f43b78386e6b136ff1b3f4756,MALE,35-49,1362,206,289,893,1048,97,961,227,3,683,359,5,418,343,209,193,488,173,15,159,132,11,0,433,42,42,0,19,19,4,34,20,1,0,1,0,0,2519
cf3a2ee80d533483e436019df024846f,MALE,25-34,365,73,109,211,279,67,279,48,2,205,109,3,139,177,83,100,155,60,11,54,28,2,0,52,10,15,2,5,13,9,14,6,0,0,0,0,0,1090
6487bbd4145eecb77b50c1eeb36c82de,FEMALE,35-49,104,28,24,51,66,19,280,26,1,39,21,3,21,25,19,9,42,1,5,16,4,0,0,43,4,2,0,2,0,2,2,0,0,0,0,0,0,398
6f302b80bf2f244c30f509a763d9b1fa,MALE,35-49,1118,80,180,556,574,42,648,160,4,592,246,4,350,342,154,198,206,96,24,102,72,8,40,48,18,24,0,16,20,18,34,12,0,0,0,0,0,1300
cd6ad18273b841d979fb938896543229,MALE,35-49,87,15,15,47,55,3,80,7,1,33,43,2,16,9,2,20,24,19,1,10,4,0,0,37,5,4,0,0,0,0,1,1,0,0,0,0,0,296
0044bf0a3b4fdb88798235d1352f5325,FEMALE,50-64,55,10,9,33,34,4,154,15,0,22,35,1,8,8,8,0,18,8,2,8,3,0,0,52,1,2,0,0,0,0,0,0,0,0,0,0,0,283
