,Gender,Age,!,"""",#,$,%,&,',(,),*,+,",",-,0,/,:,;,<,=,>,?,@,[,\,],^,_,`,{,|,},~,Vocabulary
3673b860b3068ced30eae56ddf4aa88d,FEMALE,25-34,0,0,11,0,0,11,0,2,1,0,0,17,3,29,4,1,11,0,0,0,1,0,5,0,5,0,0,0,0,0,0,0,190
0ff365c959ec5aad4fd259e9084664ca,MALE,35-49,0,0,22,0,2,22,0,8,7,0,0,42,8,56,1,2,23,0,0,0,3,0,10,0,10,0,0,0,0,0,0,0,390
e51f0508ffb0e5ce259413320dea1466,FEMALE,25-34,42,96,2,1,5,25,68,39,52,6,3,478,166,484,39,64,35,0,1,0,36,0,0,0,0,0,2,0,2,0,2,0,2742
325a3910e81d6fdef13ebd10e62b6811,MALE,50-64,0,10,0,0,0,2,2,10,10,0,0,74,18,116,4,0,0,0,0,0,20,2,2,0,2,0,0,0,0,0,0,0,522
d24b9964ae7655c41a5ad61f9a8046f8,FEMALE,35-49,73,58,58,8,2,0,450,86,85,555,1,1136,297,1311,32,285,7,0,2,0,77,1,0,0,0,0,0,0,2,0,2,0,4018
ca9795912e9c0fd29c5b2c5b43165ddc,FEMALE,25-34,4,0,19,0,0,9,0,0,0,0,0,6,0,2,1,7,9,0,0,0,0,36,0,0,0,0,1,0,0,0,0,0,109
91ecc62e3cbf4dbe55f006dcb1dcf1ce,MALE,25-34,2,0,14,1,1,14,0,6,6,0,0,24,3,56,0,1,14,0,0,0,3,0,10,0,10,0,0,0,0,0,0,0,295
71bad84ba0121a58a28f3806b5c38d35,MALE,50-64,5,72,0,0,1,9,44,28,26,0,1,234,74,309,22,139,16,0,0,0,31,12,17,0,17,0,24,1,0,12,0,0,2137
4fb4d4012ab1400519a8aacc1fa5b437,MALE,18-24,6,13,7,20,4,32,32,48,71,2,1,159,185,260,34,52,25,0,10,0,5,1,3,0,3,1,2,0,3,3,3,0,1565
79ccd7fc8dafb588b483b27df2f34dc3,FEMALE,35-49,10,66,0,0,9,7,154,29,29,21,0,367,98,428,4,33,1,0,0,0,50,1,13,0,13,0,0,2,0,0,0,0,2765
6668a185a1dba76ba3b03f6f3d59f47b,FEMALE,25-34,20,0,41,1,1,41,0,2,2,0,3,17,3,47,0,1,42,0,0,0,0,0,11,0,11,0,0,0,0,0,0,0,406
802ae19a2e58af637ecd26a581c8e61f,MALE,50-64,15,243,0,4,2,28,232,324,304,16,46,790,330,1155,89,47,172,0,230,0,94,0,85,0,85,32,2,0,82,64,72,0,4557
7f8f9c613d650159608b025916e3dc5d,FEMALE,50-64,1,0,19,0,17,19,0,1,1,0,0,15,2,53,0,1,19,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,239
44196f9071e35afd7e747b118e978d81,FEMALE,25-34,31,40,0,0,0,0,80,1,1,2,0,226,34,290,0,8,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,2373
7f4e15c615e37f97f38fa5380ef5f327,FEMALE,50-64,4,0,26,0,0,26,0,2,2,0,0,44,7,17,0,0,27,0,0,0,5,0,10,0,10,0,0,0,0,0,0,0,352
cb3cc661832e991adc4194df9a4f5e9d,MALE,25-34,2,11,43,0,0,43,0,5,5,0,0,70,8,69,2,7,43,0,0,11,6,0,0,0,0,0,0,0,0,0,0,0,544
98aca1ff7d801140dcec5ca79627043f,FEMALE,25-34,2,0,7,0,0,7,0,0,0,0,0,31,11,48,0,0,7,0,0,0,7,0,11,0,11,0,0,0,0,0,0,0,351
66d2a329a83d33691b5fe7937bbfbffd,MALE,50-64,0,38,0,73,0,1,67,33,34,0,0,375,107,492,10,54,2,0,0,0,10,0,17,0,17,0,1,0,0,0,0,0,1624
4e1a38925af9f48889fe3e952b247326,FEMALE,35-49,7,0,47,0,0,47,0,1,1,0,0,27,1,79,1,0,47,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,342
5c9583085493bf65d2a322a794d752f2,FEMALE,35-49,0,46,3,1,6,1,39,33,33,2,0,348,88,463,13,48,42,0,0,0,17,0,0,0,0,0,0,0,1,0,1,0,2907
f6cd7617d07c0e180e7ffa284de08c15,MALE,65-xx,3,24,1,2,1,3,85,81,89,0,1,512,92,427,35,58,17,0,0,0,27,0,0,0,0,0,1,0,0,0,0,0,3140
d72e4b7b00cf79d63985c39ee99d5d23,FEMALE,50-64,0,0,1,0,1,1,0,0,0,0,0,31,4,44,0,0,2,0,0,0,4,0,10,0,10,0,0,0,0,0,0,0,344
755e49db52cf4147d53df66d0c73bc6b,MALE,25-34,2,0,25,0,0,25,0,0,0,0,0,23,1,25,0,4,25,0,0,0,2,0,8,0,8,0,0,0,0,0,0,0,310
a461066d41c07295283f3c02099adcd8,MALE,35-49,0,0,18,0,0,18,0,1,1,0,0,19,1,19,0,3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215
56a8086bc186ef1bc7c5df85545e0116,MALE,35-49,1,0,42,0,0,42,0,2,2,0,0,24,5,55,0,2,42,0,0,0,3,0,9,0,9,0,0,0,0,0,0,0,342
94abbb1487b94006fc74d0ab84ec2635,FEMALE,25-34,0,0,23,1,0,23,0,0,0,0,0,25,3,18,0,1,23,0,0,0,1,0,7,0,7,0,0,0,0,0,0,0,261
dce632f5ef586e0def244e8eb45dd2b8,FEMALE,50-64,0,0,26,0,0,26,0,0,0,0,0,15,1,12,0,0,26,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,248
298ac0ec801d9f4cc6f45733f904eb1b,MALE,25-34,1,0,75,0,0,75,1,3,3,0,0,125,29,67,2,42,76,0,0,0,2,0,45,0,45,0,0,0,0,0,0,0,1184
a20faa0f43b78386e6b136ff1b3f4756,MALE,35-49,9,16,254,0,16,257,0,129,129,0,4,449,71,452,17,62,276,0,1,0,25,6,8,0,8,0,0,0,0,0,0,0,2519
cf3a2ee80d533483e436019df024846f,MALE,25-34,16,20,6,0,3,7,0,3,5,4,0,127,141,176,19,48,51,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,1090
6487bbd4145eecb77b50c1eeb36c82de,FEMALE,35-49,10,0,26,0,0,26,0,5,5,0,4,20,7,99,0,23,26,0,0,0,6,0,7,0,7,0,0,0,0,0,0,0,398
6f302b80bf2f244c30f509a763d9b1fa,MALE,35-49,20,0,2,0,0,60,216,88,106,0,0,290,34,358,14,24,4,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,1300
cd6ad18273b841d979fb938896543229,MALE,35-49,0,0,32,0,0,32,0,1,1,0,0,12,9,11,1,2,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296
0044bf0a3b4fdb88798235d1352f5325,FEMALE,50-64,0,0,32,0,0,32,0,8,8,0,0,31,18,14,10,11,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,283
9d976a82f0d735e95f1338a0c4d08372,MALE,35-49,2,8,1,0,0,2,3,22,22,0,0,105,24,117,7,19,3,0,0,0,2,1,5,0,5,0,0,0,0,3,0,0,883
808445e76a3eba242898ba24be3ef64d,MALE,25-34,21,30,8,15,12,3,50,22,21,0,3,202,201,299,102,76,27,0,4,0,50,2,0,0,0,0,85,0,0,0,0,1,1722
788624fbd848021d505fc0ff3550fff3,FEMALE,35-49,0,1,0,0,0,0,0,0,0,0,0,22,3,46,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,276
0b085d7e81d2aa6897b0c7d1a07de06f,FEMALE,25-34,0,0,26,7,0,26,1,14,14,0,0,142,27,72,0,1,26,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1027
6d5aaaa46480f919e85f286523221796,FEMALE,35-49,1,0,0,0,0,7,10,7,8,0,0,243,15,320,16,14,5,0,1,0,3,0,0,0,0,0,0,0,4,0,4,0,1566
ad82f4a5700c4e46c52c84874399a417,FEMALE,35-49,0,0,19,0,0,19,0,0,0,0,0,21,4,41,4,1,19,0,0,0,4,0,9,0,9,0,0,0,0,0,0,0,352
d0d79ca665a426c76c4d69a4e868070a,MALE,25-34,0,2,0,0,0,0,4,0,0,0,0,5,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136
111a34249fffddcfcfe1f00951698366,MALE,35-49,88,20,0,1,0,18,94,40,40,2,7,140,54,403,15,108,17,0,2,0,4,0,0,0,0,0,0,0,1,0,1,0,1581
f9f2ea449732be0f491cf507b9f5d9df,FEMALE,35-49,0,3,18,0,0,18,0,2,2,0,0,79,6,44,3,6,18,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,636
752e8784532ed8faa799cc8cb25dd3f3,MALE,35-49,1,34,0,0,2,0,15,20,21,0,0,150,105,174,64,44,1,0,1,0,42,2,0,0,0,0,2,0,0,0,0,0,1035
d28c1d83999e19eb1710ac909ac8de47,FEMALE,35-49,0,0,20,0,0,20,0,4,4,0,0,15,2,11,0,23,20,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,234
